frame,centoid_x,centroid_y,blob_orient,area,grey,spine_length,width,perimeter,collision_flag,...79,id,name,trial,condition,group,odor_a_x,odor_a_y,spinepoint_x_1_conv,spinepoint_y_1_conv,spinepoint_x_2_conv,spinepoint_y_2_conv,spinepoint_x_3_conv,spinepoint_y_3_conv,spinepoint_x_4_conv,spinepoint_y_4_conv,spinepoint_x_5_conv,spinepoint_y_5_conv,spinepoint_x_6_conv,spinepoint_y_6_conv,spinepoint_x_7_conv,spinepoint_y_7_conv,spinepoint_x_8_conv,spinepoint_y_8_conv,spinepoint_x_9_conv,spinepoint_y_9_conv,spinepoint_x_10_conv,spinepoint_y_10_conv,spinepoint_x_11_conv,spinepoint_y_11_conv,spinepoint_x_12_conv,spinepoint_y_12_conv,odor_a_x_rot,odor_a_y_rot,contourpoint_x_1_conv,contourpoint_y_1_conv,contourpoint_x_2_conv,contourpoint_y_2_conv,contourpoint_x_3_conv,contourpoint_y_3_conv,contourpoint_x_4_conv,contourpoint_y_4_conv,contourpoint_x_5_conv,contourpoint_y_5_conv,contourpoint_x_6_conv,contourpoint_y_6_conv,contourpoint_x_7_conv,contourpoint_y_7_conv,contourpoint_x_8_conv,contourpoint_y_8_conv,contourpoint_x_9_conv,contourpoint_y_9_conv,contourpoint_x_10_conv,contourpoint_y_10_conv,contourpoint_x_11_conv,contourpoint_y_11_conv,contourpoint_x_12_conv,contourpoint_y_12_conv,contourpoint_x_13_conv,contourpoint_y_13_conv,contourpoint_x_14_conv,contourpoint_y_14_conv,contourpoint_x_15_conv,contourpoint_y_15_conv,contourpoint_x_16_conv,contourpoint_y_16_conv,contourpoint_x_17_conv,contourpoint_y_17_conv,contourpoint_x_18_conv,contourpoint_y_18_conv,contourpoint_x_19_conv,contourpoint_y_19_conv,contourpoint_x_20_conv,contourpoint_y_20_conv,contourpoint_x_21_conv,contourpoint_y_21_conv,contourpoint_x_22_conv,contourpoint_y_22_conv,tail_vector_x,tail_vector_y,head_vector_x,head_vector_y,midpoint_speed,midpoint_speed_bl,midpoint_distance,midpoint_distance_bl,distance_to_sp,head_vector_angular_speed,tail_vector_angular_speed,abs_head_vector_angular_speed,abs_tail_vector_angular_speed,head_vel_forward,tail_vel_forward,head_vel_forward_bl,tail_vel_forward_bl,na_flag_flip,head_vector_extended_x,head_vector_extended_y,bending_angle,abs_bending_angle,bearing_angle,heading_angle,distance_to_odor,odor_orientation,odor_speed,pref,spinepoint_x_1,spinepoint_x_2,spinepoint_x_3,spinepoint_x_4,spinepoint_x_5,spinepoint_x_6,spinepoint_x_7,spinepoint_x_8,spinepoint_x_9,spinepoint_x_10,spinepoint_x_11,spinepoint_x_12,spinepoint_y_1,spinepoint_y_2,spinepoint_y_3,spinepoint_y_4,spinepoint_y_5,spinepoint_y_6,spinepoint_y_7,spinepoint_y_8,spinepoint_y_9,spinepoint_y_10,spinepoint_y_11,spinepoint_y_12,contourpoint_x_1,contourpoint_x_2,contourpoint_x_3,contourpoint_x_4,contourpoint_x_5,contourpoint_x_6,contourpoint_x_7,contourpoint_x_8,contourpoint_x_9,contourpoint_x_10,contourpoint_x_11,contourpoint_x_12,contourpoint_x_13,contourpoint_x_14,contourpoint_x_15,contourpoint_x_16,contourpoint_x_17,contourpoint_x_18,contourpoint_x_19,contourpoint_x_20,contourpoint_x_21,contourpoint_x_22,contourpoint_y_1,contourpoint_y_2,contourpoint_y_3,contourpoint_y_4,contourpoint_y_5,contourpoint_y_6,contourpoint_y_7,contourpoint_y_8,contourpoint_y_9,contourpoint_y_10,contourpoint_y_11,contourpoint_y_12,contourpoint_y_13,contourpoint_y_14,contourpoint_y_15,contourpoint_y_16,contourpoint_y_17,contourpoint_y_18,contourpoint_y_19,contourpoint_y_20,contourpoint_y_21,contourpoint_y_22,distance_from_sp,HCs,HC_flag,HCs_right,HCs_left,HC_angle,Abs_HC_angle,HC_reorientation,run_flag,run_direction,step_boolean,IS_angle,Abs_IS_angle,IS_reorientation,IS_interval,IS_distance,run_speed,step_idx,step_extr,gt_1min,minima,IS_distance_bl,run_speed_bl,flanks
780,65.5826,14.0291,-0.790597,703,34372,4.07822579700193,0.955809,9.28136,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
781,65.5193,14.1058,-0.807217,716,34763,4.08038286908497,0.969527,9.33953,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
782,65.393,14.2561,-0.827344,729,35239,4.23135649019734,0.960485,9.63747,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.82678,-12.87252,66.53418,-13.16086,66.23892,-13.3947,65.96036,-13.6256,65.6712,-13.89988,65.42368,-14.16386,65.16276,-14.461,64.92636,-14.73916,64.70228,-15.01758,64.48176,-15.32986,64.2641,-15.64564,64.04674,-15.90824,0,0,66.82678,-12.87252,66.848,-13.35164,66.59812,-13.63418,66.32886,-13.87608,66.05402,-14.15334,65.82598,-14.41814,65.57902,-14.70464,65.33202,-14.96734,65.08182,-15.22468,64.8204,-15.50998,64.53934,-15.79598,64.04674,-15.90824,64.0757,-15.37476,64.23326,-15.0179,64.42112,-14.68316,64.6292,-14.38562,64.85654,-14.09202,65.1321,-13.78876,65.40718,-13.5302,65.71544,-13.2643,66.01092,-13.05788,66.3271,-12.87544,-0.495931785152348,-0.447923980646385,-0.438179999999988,-0.62806,,,,,0.352724350165962,,-18.7447002620505,,18.7447002620505,1.8007481491595,,0.445439404862272,,,-1.40709999999999,-1.74576,,,54.3039400493522,68.1647298358949,66.939322037514,towards,0.0185750838740185,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
783,65.2727,14.447,-0.850986,730,34880,4.2197378338003,0.936167,9.71974,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.6784,-12.97564,66.4066,-13.28298,66.1126,-13.535,65.84792,-13.76272,65.56976,-14.02882,65.31184,-14.31318,65.06602,-14.60508,64.8329,-14.88658,64.61752,-15.17076,64.4012,-15.48644,64.18612,-15.80862,63.98476,-16.0732,0,0,66.6784,-12.97564,66.73804,-13.45672,66.50082,-13.75422,66.24356,-13.98932,65.97602,-14.25162,65.73796,-14.53602,65.50186,-14.82132,65.2577,-15.0891,65.01022,-15.35272,64.7491,-15.64166,64.47218,-15.93716,63.98476,-16.0732,63.98792,-15.55686,64.14086,-15.19744,64.31918,-14.85902,64.513,-14.55626,64.73752,-14.26096,64.99602,-13.9658,65.28234,-13.6876,65.5764,-13.42554,65.85692,-13.21276,66.1791,-13.00538,-0.484447486510568,-0.455878731962429,-0.431400000000011,-0.637859999999998,2.98496061749565,0.738370372122932,0.186560038593478,0.0461481482576832,0.16619299142864,,-15.8212818468325,,15.8212818468325,1.7681945699646,,0.437386836850759,,,-1.38364000000001,-1.7798,,,55.620822070786,69.1410552761842,66.8618244284285,towards,0.0155446536717919,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
784,65.1764,14.5844,-0.858517,710,34180,4.09547802510868,0.94132,9.43885,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.55008,-13.09314,66.28632,-13.40574,66.008,-13.66806,65.7472,-13.8989,65.46584,-14.16762,65.21564,-14.4487,64.9643,-14.74868,64.74118,-15.02612,64.5265,-15.31936,64.32062,-15.63156,64.11388,-15.95132,63.90778,-16.22434,0,0,66.55008,-13.09314,66.62222,-13.57536,66.39726,-13.8826,66.13644,-14.12454,65.86524,-14.39366,65.63672,-14.6732,65.3967,-14.96516,65.1605,-15.2275,64.9143,-15.4989,64.66394,-15.78484,64.39262,-16.07666,63.90778,-16.22434,63.91844,-15.70214,64.06174,-15.3465,64.2277,-15.01114,64.41984,-14.69774,64.63702,-14.40684,64.90172,-14.10068,65.18206,-13.82554,65.47668,-13.56752,65.74256,-13.35078,66.04694,-13.13334,-0.479239885686703,-0.466832322613486,-0.41261999999999,-0.631959999999999,2.65908786285825,0.657761339730331,0.352753030022118,0.0872582319908289,0,,-11.0479879807769,,11.0479879807769,1.18882163002994,1.36722843457822,0.294071105731859,0.338202441298388,,-1.35196000000001,-1.7837,,,56.7408654678682,70.2140748632764,66.7970405953707,towards,0.0121728536049025,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
785,65.0985,14.7155,-0.867893,693,33353,4.0184108467203,0.963782,9.18204,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.47278,-13.20438,66.2037,-13.49682,65.91796,-13.76904,65.66334,-14.00556,65.39948,-14.26304,65.13912,-14.55914,64.89556,-14.8474,64.67708,-15.12622,64.46142,-15.435,64.26872,-15.73572,64.0598,-16.054,63.85192,-16.32352,0,0,66.47278,-13.20438,66.52236,-13.67598,66.28992,-13.99678,66.03958,-14.24052,65.78774,-14.49588,65.5561,-14.78752,65.32364,-15.0672,65.09076,-15.33094,64.84548,-15.61808,64.6098,-15.89412,64.33668,-16.18416,63.85192,-16.32352,63.86708,-15.80082,64.01062,-15.44502,64.16218,-15.12206,64.3575,-14.7933,64.57282,-14.50218,64.83042,-14.20584,65.12346,-13.91322,65.40428,-13.66376,65.66692,-13.43596,65.98088,-13.21926,-0.470666909148298,-0.469667728988355,-0.401620000000008,-0.619,2.14974180403134,0.531767704574466,0.487111892774077,0.120493713526733,0.134358862751959,-8.95133438218276,-9.58997990834892,8.95133438218276,9.58997990834892,0.84599552917946,1.10185034963949,0.209268433906058,0.272557583479836,,-1.33968,-1.79096,8.46017800938072,8.46017800938072,57.5381315275662,70.4893509030512,66.7463370673927,towards,0.0090760505899319,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
786,65.0511,14.7701,-0.87132,687,32989,4.03091931904963,0.946269,9.32249,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.4109,-13.27462,66.14108,-13.55158,65.85924,-13.82324,65.59506,-14.07772,65.3443,-14.32974,65.085,-14.6277,64.8411,-14.91384,64.61452,-15.20402,64.4067,-15.51588,64.22602,-15.80486,64.01788,-16.12502,63.8116,-16.39554,0,0,66.4109,-13.27462,66.44504,-13.73322,66.21654,-14.0536,65.96334,-14.31702,65.72788,-14.56418,65.49978,-14.85824,65.26466,-15.13416,65.02664,-15.40628,64.78944,-15.69708,64.56726,-15.96256,64.2954,-16.2557,63.8116,-16.39554,63.82374,-15.87042,63.96666,-15.5141,64.10594,-15.20386,64.29494,-14.87318,64.52254,-14.56904,64.77924,-14.27262,65.0715,-13.9755,65.34302,-13.72804,65.6202,-13.48576,65.93142,-13.27336,-0.464550116558654,-0.473365342995886,-0.388819999999996,-0.60914,1.39754738309654,0.345702243194813,0.574458604217611,0.142100103726409,0.221602819476647,-9.64543447836294,-5.38011722352216,9.64543447836294,5.38011722352216,0.8182028292924,0.905126150859378,0.202393533769142,0.223895192757668,,-1.32642,-1.79528,8.48507501275471,8.48507501275471,58.2051126391933,70.9942513762824,66.708521436845,towards,0.00951139485921252,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
787,65.0239,14.7793,-0.880715,704,33680,4.12586773272395,0.946364,9.40477,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.3884,-13.33844,66.09312,-13.59022,65.80144,-13.86636,65.54466,-14.12448,65.29854,-14.3771,65.03154,-14.68472,64.80248,-14.95604,64.57096,-15.25722,64.3597,-15.58038,64.1825,-15.86652,63.98454,-16.18714,63.7805,-16.47452,0,0,66.3884,-13.33844,66.37514,-13.79164,66.13618,-14.10856,65.89592,-14.37332,65.67148,-14.62276,65.43946,-14.92388,65.21852,-15.1818,64.97876,-15.46196,64.73754,-15.76012,64.52402,-16.02048,64.2669,-16.31172,63.7805,-16.47452,63.78126,-15.93784,63.92008,-15.58068,64.06234,-15.27096,64.25286,-14.92462,64.48938,-14.6067,64.73172,-14.32224,65.0346,-14.01198,65.30644,-13.76386,65.58228,-13.51706,65.9084,-13.2984,-0.456616654878823,-0.47077651120488,-0.375160000000001,-0.60676,1.25058726684709,0.309349671208998,0.652620308395554,0.161434458176971,0.299329668425969,-8.62916881853193,-2.86096683039502,8.62916881853193,2.86096683039502,0.816211402929084,0.92116314652662,0.20190092752961,0.227862160492234,FALSE,-1.31399999999999,-1.81004,8.67421121615307,8.67421121615307,58.5992552800786,71.8799973789174,66.6688997678078,towards,0.00769650276393343,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
788,64.9732,14.8048,-0.895568,707,34332,4.16956381628699,0.920648,9.54522,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.36066,-13.3898,66.05006,-13.63056,65.75112,-13.89588,65.49564,-14.1547,65.24586,-14.42434,64.98786,-14.73256,64.76144,-15.0033,64.52294,-15.31682,64.31462,-15.6392,64.13828,-15.92428,63.9414,-16.24296,63.7253,-16.53104,0,0,66.36066,-13.3898,66.32162,-13.8428,66.06666,-14.15218,65.82806,-14.41852,65.60168,-14.68602,65.37862,-14.98782,65.16624,-15.24612,64.9197,-15.53738,64.686,-15.83506,64.47612,-16.09442,64.22008,-16.38318,63.7253,-16.53104,63.7415,-15.97948,63.8797,-15.62298,64.02286,-15.31406,64.21598,-14.9691,64.45962,-14.6376,64.70052,-14.3533,64.99554,-14.04194,65.27502,-13.77782,65.5522,-13.53502,65.88076,-13.33314,-0.453413716957592,-0.470402858300946,-0.373220000000003,-0.603760000000005,1.03649970959966,0.256392218978255,0.717401540245533,0.177458971863112,0.363950859320326,-11.5758477636752,1.40864157426656,11.5758477636752,1.40864157426656,0.984161677479378,1.10071063577346,0.243445699005319,0.272275659843577,FALSE,-1.30445999999999,-1.81862,8.9343719782378,8.9343719782378,58.8264617603436,71.9445092310769,66.6368537037366,towards,0.00871987613280968,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
789,64.9294,14.8536,-0.900929,710,33863,4.20810424071057,0.929169,9.71974,0,0.0702247,3,113.csv,20230410_110403-data,0_Degree,GoDM,0,0,66.32064,-13.46656,65.99592,-13.70688,65.68606,-13.95512,65.41996,-14.21924,65.18502,-14.49006,64.9342,-14.805,64.71234,-15.07944,64.47584,-15.3964,64.26852,-15.72384,64.08946,-16.01294,63.89888,-16.33936,63.69958,-16.64098,0,0,66.32064,-13.46656,66.26406,-13.92518,66.0018,-14.2182,65.76132,-14.47946,65.55034,-14.73628,65.3353,-15.04282,65.12906,-15.3044,64.88708,-15.59812,64.65508,-15.90112,64.44204,-16.16484,64.19524,-16.46368,63.69958,-16.64098,63.67906,-16.08846,63.81498,-15.7275,63.96234,-15.41536,64.1546,-15.06606,64.39692,-14.72992,64.6343,-14.44136,64.92154,-14.11778,65.1916,-13.84112,65.49348,-13.58908,65.83514,-13.40392,-0.45506506908268,-0.470666516276491,-0.369639999999997,-0.615520000000002,1.44239349527091,0.35679553546151,0.807551133699964,0.199758692829456,0.454046433308314,-15.0030306687563,-3.31707847918521,15.0030306687563,3.31707847918521,1.43815123912346,1.35061103094364,0.355746156038587,0.334091901804678,FALSE,-1.28614000000001,-1.8493,9.20046962559878,9.20046962559878,58.8094049704529,72.761639740567,66.6005882454502,towards,0.0116319658914577,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FALSE,,,,,,,,,,,,,0
